DATE_ID,ORDER_DATE,SHIP_DATE,YEAR,DAY_NAME,DELIVERY_DAYS,SHIPPING_COST
98,2012-11-21,2012-11-22,2012,Wednesday,1 days,589.293
99,2014-03-29,2014-03-31,2014,Saturday,2 days,588.13
100,2015-08-26,2015-08-27,2015,Wednesday,1 days,586.57
101,2013-09-20,2013-09-22,2013,Friday,2 days,585.25
102,2015-05-16,2015-05-18,2015,Saturday,2 days,581.88
103,2015-08-02,2015-08-08,2015,Sunday,6 days,103.62
104,2014-11-24,2014-11-25,2014,Monday,1 days,580.98
105,2012-11-08,2012-11-10,2012,Thursday,2 days,576.71
106,2012-10-27,2012-10-27,2012,Saturday,0 days,573.27
107,2015-11-19,2015-11-23,2015,Thursday,4 days,572.95
108,2015-10-28,2015-10-30,2015,Wednesday,2 days,568.45
109,2014-09-26,2014-09-28,2014,Friday,2 days,43.01
110,2015-09-05,2015-09-06,2015,Saturday,1 days,23.88
111,2014-01-29,2014-02-05,2014,Wednesday,7 days,564.25
112,2013-09-18,2013-09-21,2013,Wednesday,3 days,562.14
113,2014-11-23,2014-11-23,2014,Sunday,0 days,556.45
114,2013-06-13,2013-06-13,2013,Thursday,0 days,555.77
115,2014-10-28,2014-10-31,2014,Tuesday,3 days,553.31
116,2014-12-12,2014-12-14,2014,Friday,2 days,550.74
117,2013-05-25,2013-05-28,2013,Saturday,3 days,548.4
118,2015-10-04,2015-10-09,2015,Sunday,5 days,12.65
119,2014-12-02,2014-12-02,2014,Tuesday,0 days,546.9
120,2015-01-03,2015-01-05,2015,Saturday,2 days,5.35
121,2014-01-28,2014-01-30,2014,Tuesday,2 days,546.49
122,2013-05-07,2013-05-07,2013,Tuesday,0 days,545.89
123,2014-11-27,2014-11-29,2014,Thursday,2 days,541.59
124,2013-11-28,2013-12-02,2013,Thursday,4 days,541.57
125,2013-09-29,2013-09-29,2013,Sunday,0 days,540.77
126,2014-09-03,2014-09-05,2014,Wednesday,2 days,539.94
127,2014-07-26,2014-08-01,2014,Saturday,6 days,533.99
128,2015-11-19,2015-11-25,2015,Thursday,6 days,531.28
129,2013-06-19,2013-06-19,2013,Wednesday,0 days,531.09
130,2013-10-11,2013-10-14,2013,Friday,3 days,530.486
131,2012-08-08,2012-08-10,2012,Wednesday,2 days,527.87
132,2012-11-04,2012-11-08,2012,Sunday,4 days,527.85
133,2012-07-26,2012-08-01,2012,Thursday,6 days,4.36
134,2014-04-26,2014-04-28,2014,Saturday,2 days,523.466
135,2014-12-26,2014-12-26,2014,Friday,0 days,522.79
136,2015-08-28,2015-08-31,2015,Friday,3 days,358.51
137,2012-10-26,2012-10-27,2012,Friday,1 days,358.176
138,2015-03-19,2015-03-23,2015,Thursday,4 days,357.89
139,2015-09-11,2015-09-18,2015,Friday,7 days,357.789
140,2013-08-28,2013-08-28,2013,Wednesday,0 days,357.21
141,2015-09-17,2015-09-19,2015,Thursday,2 days,16.53
142,2014-08-01,2014-08-04,2014,Friday,3 days,356.84
143,2014-06-22,2014-06-27,2014,Sunday,5 days,15.46
144,2015-12-24,2015-12-27,2015,Thursday,3 days,355.92
145,2015-09-17,2015-09-19,2015,Thursday,2 days,13.56
146,2013-02-22,2013-02-25,2013,Friday,3 days,355.06
147,2015-10-11,2015-10-13,2015,Sunday,2 days,354.47
148,2015-04-21,2015-04-23,2015,Tuesday,2 days,354.423
149,2014-06-12,2014-06-17,2014,Thursday,5 days,353.85
150,2014-09-17,2014-09-20,2014,Wednesday,3 days,353.57
151,2015-09-19,2015-09-19,2015,Saturday,0 days,353.42
152,2015-11-26,2015-12-03,2015,Thursday,7 days,353.04
153,2015-09-01,2015-09-01,2015,Tuesday,0 days,352.79
154,2015-06-20,2015-06-26,2015,Saturday,6 days,352.64
155,2015-10-23,2015-10-25,2015,Friday,2 days,352.52
156,2012-08-15,2012-08-19,2012,Wednesday,4 days,351.08
157,2015-09-12,2015-09-14,2015,Saturday,2 days,351.067
158,2015-04-02,2015-04-05,2015,Thursday,3 days,12.42
159,2015-01-14,2015-01-16,2015,Wednesday,2 days,350.68
160,2015-11-13,2015-11-15,2015,Friday,2 days,350.68
161,2014-06-13,2014-06-13,2014,Friday,0 days,350.31
162,2015-09-17,2015-09-19,2015,Thursday,2 days,5.83
163,2015-09-22,2015-09-25,2015,Tuesday,3 days,349.88
164,2012-01-08,2012-01-13,2012,Sunday,5 days,349.87
165,2012-09-21,2012-09-28,2012,Friday,7 days,5.5
166,2014-07-30,2014-07-30,2014,Wednesday,0 days,348.48
167,2015-12-03,2015-12-06,2015,Thursday,3 days,4.99
168,2015-04-30,2015-05-04,2015,Thursday,4 days,348.08
169,2012-09-27,2012-09-29,2012,Thursday,2 days,347.815
170,2015-06-24,2015-06-28,2015,Wednesday,4 days,346.6
171,2012-04-05,2012-04-07,2012,Thursday,2 days,345.81
172,2015-08-07,2015-08-09,2015,Friday,2 days,345.78
173,2015-04-02,2015-04-05,2015,Thursday,3 days,4.46
174,2015-02-14,2015-02-16,2015,Saturday,2 days,344.98
175,2012-12-23,2012-12-25,2012,Sunday,2 days,2.16
176,2013-08-17,2013-08-19,2013,Saturday,2 days,344.5
177,2013-11-09,2013-11-13,2013,Saturday,4 days,2.15
178,2013-08-07,2013-08-08,2013,Wednesday,1 days,343.809
179,2014-06-22,2014-06-27,2014,Sunday,5 days,2.02
180,2014-05-03,2014-05-07,2014,Saturday,4 days,1.79
181,2013-08-09,2013-08-11,2013,Friday,2 days,340.09
182,2014-02-21,2014-02-22,2014,Friday,1 days,339.47
183,2013-07-18,2013-07-19,2013,Thursday,1 days,339.06
184,2014-09-12,2014-09-17,2014,Friday,5 days,1.46
185,2015-04-09,2015-04-12,2015,Thursday,3 days,338.33
186,2013-06-18,2013-06-20,2013,Tuesday,2 days,338.1
187,2014-12-31,2015-01-02,2014,Wednesday,2 days,337.93
188,2014-05-03,2014-05-07,2014,Saturday,4 days,1.42
189,2013-01-15,2013-01-17,2013,Tuesday,2 days,337.07
190,2014-01-28,2014-01-30,2014,Tuesday,2 days,487.476
191,2013-06-14,2013-06-17,2013,Friday,3 days,487.32
192,2015-11-06,2015-11-08,2015,Friday,2 days,6.61
193,2014-09-02,2014-09-04,2014,Tuesday,2 days,6.53
194,2013-12-06,2013-12-08,2013,Friday,2 days,483.257
195,2014-09-05,2014-09-07,2014,Friday,2 days,483.04
196,2015-09-18,2015-09-20,2015,Friday,2 days,481.04
197,2014-09-02,2014-09-04,2014,Tuesday,2 days,6.22
198,2013-08-03,2013-08-08,2013,Saturday,5 days,479.96
199,2015-12-09,2015-12-11,2015,Wednesday,2 days,479.94
200,2013-10-25,2013-10-28,2013,Friday,3 days,479.67
201,2015-05-08,2015-05-13,2015,Friday,5 days,5.44
202,2014-08-27,2014-08-29,2014,Wednesday,2 days,475.34
203,2012-05-12,2012-05-16,2012,Saturday,4 days,474.44
204,2012-11-02,2012-11-05,2012,Friday,3 days,473.27
205,2015-08-02,2015-08-03,2015,Sunday,1 days,472.0
206,2012-09-19,2012-09-21,2012,Wednesday,2 days,471.92
207,2014-03-14,2014-03-19,2014,Friday,5 days,3.15
208,2014-03-11,2014-03-15,2014,Tuesday,4 days,470.29
209,2013-02-01,2013-02-04,2013,Friday,3 days,469.29
210,2014-03-14,2014-03-19,2014,Friday,5 days,2.72
211,2015-04-09,2015-04-13,2015,Thursday,4 days,466.703
212,2014-08-30,2014-09-04,2014,Saturday,5 days,2.16
213,2015-03-19,2015-03-21,2015,Thursday,2 days,465.918
214,2014-10-02,2014-10-04,2014,Thursday,2 days,465.63
215,2014-01-12,2014-01-15,2014,Sunday,3 days,465.02
216,2015-08-20,2015-08-25,2015,Thursday,5 days,463.98
217,2012-12-16,2012-12-19,2012,Sunday,3 days,458.97
218,2015-03-14,2015-03-18,2015,Saturday,4 days,458.54
219,2013-09-18,2013-09-24,2013,Wednesday,6 days,1.69
220,2015-07-09,2015-07-13,2015,Thursday,4 days,456.32
221,2014-06-11,2014-06-15,2014,Wednesday,4 days,455.71
222,2012-08-09,2012-08-16,2012,Thursday,7 days,454.81
223,2015-03-17,2015-03-21,2015,Tuesday,4 days,452.6
224,2014-01-02,2014-01-03,2014,Thursday,1 days,452.28
225,2014-09-02,2014-09-04,2014,Tuesday,2 days,1.67
226,2013-10-10,2013-10-11,2013,Thursday,1 days,451.03
227,2014-09-02,2014-09-04,2014,Tuesday,2 days,1.31
228,2012-06-16,2012-06-18,2012,Saturday,2 days,449.18
229,2015-04-03,2015-04-05,2015,Friday,2 days,448.91
230,2012-05-16,2012-05-19,2012,Wednesday,3 days,447.657
231,2015-02-11,2015-02-15,2015,Wednesday,4 days,446.33
232,2014-10-12,2014-10-12,2014,Sunday,0 days,443.92
233,2015-09-17,2015-09-22,2015,Thursday,5 days,1.23
234,2015-07-17,2015-07-19,2015,Friday,2 days,443.55
235,2015-11-22,2015-11-28,2015,Sunday,6 days,442.49
236,2012-05-29,2012-06-01,2012,Tuesday,3 days,440.25
237,2015-11-06,2015-11-08,2015,Friday,2 days,1.21
238,2015-07-17,2015-07-20,2015,Friday,3 days,439.65
239,2015-08-29,2015-09-03,2015,Saturday,5 days,439.41
240,2013-12-26,2013-12-26,2013,Thursday,0 days,439.03
241,2015-11-11,2015-11-15,2015,Wednesday,4 days,438.89
242,2014-05-01,2014-05-04,2014,Thursday,3 days,437.85
243,2012-08-15,2012-08-20,2012,Wednesday,5 days,433.41
244,2015-12-03,2015-12-07,2015,Thursday,4 days,432.57
245,2014-06-25,2014-06-29,2014,Wednesday,4 days,432.15
246,2014-01-21,2014-01-24,2014,Tuesday,3 days,432.13
247,2015-10-24,2015-10-25,2015,Saturday,1 days,188.95
248,2015-07-12,2015-07-14,2015,Sunday,2 days,430.04
249,2015-10-24,2015-10-25,2015,Saturday,1 days,79.52
250,2015-09-01,2015-09-01,2015,Tuesday,0 days,428.83
251,2015-10-24,2015-10-25,2015,Saturday,1 days,68.01
252,2012-06-06,2012-06-10,2012,Wednesday,4 days,427.46
253,2012-10-12,2012-10-12,2012,Friday,0 days,427.24
254,2014-06-10,2014-06-10,2014,Tuesday,0 days,427.1
255,2015-12-13,2015-12-17,2015,Sunday,4 days,426.09
256,2014-09-16,2014-09-21,2014,Tuesday,5 days,57.49
257,2015-06-10,2015-06-11,2015,Wednesday,1 days,424.81
258,2012-02-15,2012-02-16,2012,Wednesday,1 days,422.25
259,2014-11-28,2014-12-04,2014,Friday,6 days,419.38
260,2014-06-27,2014-06-27,2014,Friday,0 days,43.08
261,2015-04-16,2015-04-19,2015,Thursday,3 days,36.52
262,2012-08-08,2012-08-08,2012,Wednesday,0 days,417.99
263,2014-12-18,2014-12-22,2014,Thursday,4 days,11.15
264,2013-08-02,2013-08-04,2013,Friday,2 days,416.74
265,2013-06-19,2013-06-19,2013,Wednesday,0 days,416.33
266,2015-04-07,2015-04-12,2015,Tuesday,5 days,11.13
267,2014-08-02,2014-08-02,2014,Saturday,0 days,415.01
268,2015-05-22,2015-05-25,2015,Friday,3 days,413.95
269,2012-02-10,2012-02-15,2012,Friday,5 days,413.8
270,2014-09-27,2014-09-27,2014,Saturday,0 days,411.64
271,2015-06-02,2015-06-04,2015,Tuesday,2 days,411.06
272,2014-09-30,2014-10-03,2014,Tuesday,3 days,410.88
273,2012-07-18,2012-07-19,2012,Wednesday,1 days,410.22
274,2015-08-14,2015-08-16,2015,Friday,2 days,410.05
275,2015-10-24,2015-10-25,2015,Saturday,1 days,8.98
276,2015-10-31,2015-11-03,2015,Saturday,3 days,406.53
277,2014-07-25,2014-07-30,2014,Friday,5 days,404.97
278,2015-10-07,2015-10-11,2015,Wednesday,4 days,404.08
279,2015-10-17,2015-10-21,2015,Saturday,4 days,403.97
280,2014-12-03,2014-12-06,2014,Wednesday,3 days,403.46
281,2015-11-08,2015-11-10,2015,Sunday,2 days,403.26
282,2014-06-10,2014-06-10,2014,Tuesday,0 days,403.15
283,2012-09-20,2012-09-22,2012,Thursday,2 days,401.25
284,2012-06-20,2012-06-23,2012,Wednesday,3 days,401.13
285,2015-09-26,2015-09-29,2015,Saturday,3 days,8.72
286,2015-05-20,2015-05-25,2015,Wednesday,5 days,6.19
287,2015-11-26,2015-11-29,2015,Thursday,3 days,400.03
288,2013-03-30,2013-04-01,2013,Saturday,2 days,399.96
289,2012-11-09,2012-11-14,2012,Friday,5 days,399.849
290,2015-10-24,2015-10-25,2015,Saturday,1 days,5.97
291,2013-08-01,2013-08-06,2013,Thursday,5 days,398.5
292,2014-12-18,2014-12-22,2014,Thursday,4 days,4.93
293,2014-06-27,2014-06-27,2014,Friday,0 days,4.89
294,2014-06-27,2014-06-27,2014,Friday,0 days,2.73
295,2014-01-23,2014-01-27,2014,Thursday,4 days,393.62
296,2012-05-20,2012-05-24,2012,Sunday,4 days,393.58
297,2015-09-28,2015-10-01,2015,Monday,3 days,393.46
298,2012-11-05,2012-11-07,2012,Monday,2 days,390.2
299,2015-01-28,2015-01-30,2015,Wednesday,2 days,390.09
300,2015-09-13,2015-09-19,2015,Sunday,6 days,386.38
301,2015-11-27,2015-12-01,2015,Friday,4 days,1.88
302,2012-12-21,2012-12-23,2012,Friday,2 days,386.003
303,2014-02-05,2014-02-07,2014,Wednesday,2 days,384.41
304,2012-12-27,2012-12-28,2012,Thursday,1 days,383.68
305,2015-10-24,2015-10-25,2015,Saturday,1 days,1.64
306,2012-04-26,2012-04-29,2012,Thursday,3 days,383.01
307,2012-10-05,2012-10-10,2012,Friday,5 days,382.77
308,2014-08-24,2014-08-26,2014,Sunday,2 days,382.1
309,2014-09-21,2014-09-24,2014,Sunday,3 days,381.219
310,2015-12-17,2015-12-19,2015,Thursday,2 days,381.14
311,2012-11-15,2012-11-21,2012,Thursday,6 days,1.51
312,2013-12-21,2013-12-23,2013,Saturday,2 days,1.38
313,2015-09-26,2015-09-29,2015,Saturday,3 days,1.37
314,2015-06-03,2015-06-07,2015,Wednesday,4 days,378.258
315,2015-09-12,2015-09-14,2015,Saturday,2 days,377.704
316,2015-04-17,2015-04-17,2015,Friday,0 days,377.58
317,2013-11-21,2013-11-24,2013,Thursday,3 days,377.03
318,2015-03-06,2015-03-08,2015,Friday,2 days,376.88
319,2013-07-23,2013-07-28,2013,Tuesday,5 days,376.58
320,2015-11-07,2015-11-09,2015,Saturday,2 days,374.8
321,2015-11-22,2015-11-24,2015,Sunday,2 days,374.376
322,2012-06-10,2012-06-13,2012,Sunday,3 days,372.5
323,2013-09-14,2013-09-19,2013,Saturday,5 days,372.318
324,2012-11-24,2012-11-24,2012,Saturday,0 days,371.74
325,2013-08-10,2013-08-12,2013,Saturday,2 days,371.51
326,2014-03-20,2014-03-23,2014,Thursday,3 days,369.98
327,2014-12-30,2015-01-04,2014,Tuesday,5 days,369.73
328,2013-10-04,2013-10-09,2013,Friday,5 days,369.4
329,2013-08-06,2013-08-07,2013,Tuesday,1 days,369.17
330,2013-10-02,2013-10-02,2013,Wednesday,0 days,368.44
331,2015-03-26,2015-03-29,2015,Thursday,3 days,367.57
332,2015-11-21,2015-11-21,2015,Saturday,0 days,367.549
333,2012-11-29,2012-11-30,2012,Thursday,1 days,367.35
334,2012-11-02,2012-11-04,2012,Friday,2 days,366.89
335,2015-05-20,2015-05-25,2015,Wednesday,5 days,1.26
336,2013-12-06,2013-12-06,2013,Friday,0 days,366.58
337,2014-12-03,2014-12-04,2014,Wednesday,1 days,365.902
338,2013-12-20,2013-12-24,2013,Friday,4 days,365.652
339,2013-09-13,2013-09-15,2013,Friday,2 days,365.2
340,2015-09-17,2015-09-19,2015,Thursday,2 days,209.3
341,2012-09-21,2012-09-28,2012,Friday,7 days,64.56
342,2013-11-09,2013-11-13,2013,Saturday,4 days,62.17
343,2013-05-23,2013-05-26,2013,Thursday,3 days,363.73
344,2014-06-22,2014-06-27,2014,Sunday,5 days,48.18
345,2015-04-14,2015-04-17,2015,Tuesday,3 days,363.16
346,2015-08-29,2015-09-02,2015,Saturday,4 days,363.1
347,2015-05-16,2015-05-18,2015,Saturday,2 days,360.04
348,2013-12-13,2013-12-15,2013,Friday,2 days,359.58
349,2012-03-30,2012-04-03,2012,Friday,4 days,359.28
350,2013-02-03,2013-02-07,2013,Sunday,4 days,359.27
351,2014-05-29,2014-06-01,2014,Thursday,3 days,359.09
352,2013-08-29,2013-09-01,2013,Thursday,3 days,358.96
353,2012-06-14,2012-06-16,2012,Thursday,2 days,358.85
354,2014-09-10,2014-09-15,2014,Wednesday,5 days,301.73
355,2012-03-02,2012-03-04,2012,Friday,2 days,301.73
356,2013-01-01,2013-01-05,2013,Tuesday,4 days,301.26
357,2013-10-30,2013-11-03,2013,Wednesday,4 days,300.6
358,2014-11-19,2014-11-19,2014,Wednesday,0 days,300.5
359,2014-08-15,2014-08-17,2014,Friday,2 days,299.4
360,2014-06-08,2014-06-08,2014,Sunday,0 days,299.12
361,2015-10-02,2015-10-06,2015,Friday,4 days,298.83
362,2015-02-27,2015-03-03,2015,Friday,4 days,298.77
363,2014-10-31,2014-11-04,2014,Friday,4 days,298.63
364,2014-12-18,2014-12-25,2014,Thursday,7 days,298.44
365,2015-05-09,2015-05-15,2015,Saturday,6 days,297.81
366,2015-07-04,2015-07-08,2015,Saturday,4 days,297.2
367,2013-05-17,2013-05-21,2013,Friday,4 days,296.98
368,2012-08-02,2012-08-05,2012,Thursday,3 days,296.68
369,2015-09-20,2015-09-26,2015,Sunday,6 days,16.71
370,2014-02-14,2014-02-16,2014,Friday,2 days,296.08
371,2013-05-23,2013-05-23,2013,Thursday,0 days,296.01
372,2015-08-04,2015-08-09,2015,Tuesday,5 days,295.74
373,2014-11-13,2014-11-18,2014,Thursday,5 days,294.971
374,2015-02-12,2015-02-14,2015,Thursday,2 days,294.73
375,2015-11-11,2015-11-14,2015,Wednesday,3 days,294.566
376,2014-03-30,2014-04-01,2014,Sunday,2 days,294.55
377,2013-11-07,2013-11-12,2013,Thursday,5 days,14.93
378,2015-09-20,2015-09-26,2015,Sunday,6 days,12.35
379,2014-08-19,2014-08-21,2014,Tuesday,2 days,293.78
380,2015-05-29,2015-05-31,2015,Friday,2 days,293.46
381,2013-08-22,2013-08-29,2013,Thursday,7 days,293.12
382,2015-07-05,2015-07-05,2015,Sunday,0 days,293.07
383,2013-03-14,2013-03-17,2013,Thursday,3 days,291.93
384,2015-05-15,2015-05-15,2015,Friday,0 days,5.81
385,2015-09-16,2015-09-18,2015,Wednesday,2 days,291.631
386,2015-08-07,2015-08-12,2015,Friday,5 days,291.06
387,2014-09-09,2014-09-09,2014,Tuesday,0 days,290.69
388,2015-09-08,2015-09-11,2015,Tuesday,3 days,290.523
389,2013-11-07,2013-11-12,2013,Thursday,5 days,5.8
390,2013-10-17,2013-10-21,2013,Thursday,4 days,289.515
391,2015-02-17,2015-02-18,2015,Tuesday,1 days,289.32
392,2013-02-23,2013-02-28,2013,Saturday,5 days,289.17
393,2013-12-03,2013-12-10,2013,Tuesday,7 days,288.98
394,2013-12-12,2013-12-14,2013,Thursday,2 days,288.75
395,2015-06-16,2015-06-21,2015,Tuesday,5 days,288.63
396,2013-12-20,2013-12-22,2013,Friday,2 days,288.47
397,2015-05-13,2015-05-17,2015,Wednesday,4 days,288.103
398,2015-08-04,2015-08-08,2015,Tuesday,4 days,5.7
399,2015-11-07,2015-11-11,2015,Saturday,4 days,287.24
400,2014-06-10,2014-06-14,2014,Tuesday,4 days,286.87
401,2013-05-10,2013-05-12,2013,Friday,2 days,286.74
402,2014-09-13,2014-09-13,2014,Saturday,0 days,286.67
403,2014-07-25,2014-07-28,2014,Friday,3 days,286.57
404,2015-10-11,2015-10-14,2015,Sunday,3 days,286.53
405,2012-11-21,2012-11-24,2012,Wednesday,3 days,286.463
406,2013-11-07,2013-11-12,2013,Thursday,5 days,4.42
407,2015-10-25,2015-10-25,2015,Sunday,0 days,286.366
408,2014-02-02,2014-02-07,2014,Sunday,5 days,4.17
409,2014-10-14,2014-10-15,2014,Tuesday,1 days,286.2
410,2012-02-14,2012-02-16,2012,Tuesday,2 days,286.19
411,2015-05-01,2015-05-01,2015,Friday,0 days,286.01
412,2012-03-10,2012-03-12,2012,Saturday,2 days,285.83
413,2013-08-03,2013-08-08,2013,Saturday,5 days,285.65
414,2013-12-20,2013-12-23,2013,Friday,3 days,285.61
415,2013-08-03,2013-08-07,2013,Saturday,4 days,285.12
416,2013-06-20,2013-06-22,2013,Thursday,2 days,284.81
417,2014-02-08,2014-02-09,2014,Saturday,1 days,284.7
418,2012-09-27,2012-10-02,2012,Thursday,5 days,284.51
419,2013-06-23,2013-06-26,2013,Sunday,3 days,284.19
420,2014-12-20,2014-12-22,2014,Saturday,2 days,283.928
421,2013-10-11,2013-10-14,2013,Friday,3 days,283.685
422,2012-08-28,2012-09-04,2012,Tuesday,7 days,283.36
423,2015-07-18,2015-07-18,2015,Saturday,0 days,283.25
424,2012-12-05,2012-12-12,2012,Wednesday,7 days,283.09
425,2015-04-16,2015-04-16,2015,Thursday,0 days,282.58
426,2015-09-20,2015-09-26,2015,Sunday,6 days,3.26
427,2012-09-01,2012-09-01,2012,Saturday,0 days,282.09
428,2014-08-01,2014-08-02,2014,Friday,1 days,281.82
429,2015-09-12,2015-09-14,2015,Saturday,2 days,281.743
430,2015-08-06,2015-08-07,2015,Thursday,1 days,280.54
431,2015-11-20,2015-11-23,2015,Friday,3 days,280.47
432,2013-05-04,2013-05-09,2013,Saturday,5 days,279.53
