PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUB_CATEGORY,ORDER_PRIORITY,BEST_SELLING,QUANTITY,SHIP_MODE
FUR-CH-5378,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,Critical,106,4,First Class
FUR-TA-3764,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables,High,12,6,Standard Class
FUR-CH-4421,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,High,27,1,First Class
FUR-TA-3420,"Bevis Conference Table, Fully Assembled",Furniture,Tables,High,25,5,First Class
TEC-PH-3807,"Cisco Smart Phone, with Caller ID",Technology,Phones,Critical,78,4,Second Class
FUR-CH-4530,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,Critical,125,7,Same Day
OFF-AP-4959,"KitchenAid Microwave, White",Office Supplies,Appliances,Critical,34,12,Second Class
OFF-AP-3575,"Breville Refrigerator, Red",Office Supplies,Appliances,Critical,38,4,Second Class
OFF-ST-3078,Akro Stacking Bins,Office Supplies,Storage,Low,5,2,Standard Class
OFF-AP-4743,"Hoover Stove, Red",Office Supplies,Appliances,Low,50,14,Standard Class
TEC-CO-3597,"Brother Fax Machine, High-Speed",Technology,Copiers,Critical,76,9,First Class
OFF-AP-4967,"KitchenAid Stove, White",Office Supplies,Appliances,High,17,6,Second Class
FUR-TA-4644,"Hon Computer Table, with Bottom Storage",Furniture,Tables,Critical,12,4,First Class
FUR-CH-5774,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,Critical,101,6,First Class
OFF-AP-4960,"KitchenAid Refrigerator, Black",Office Supplies,Appliances,High,45,10,Second Class
TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones,Critical,130,4,First Class
FUR-TA-4643,"Hon Computer Table, Fully Assembled",Furniture,Tables,Critical,25,8,First Class
FUR-TA-5060,"Lesro Conference Table, with Bottom Storage",Furniture,Tables,Critical,22,2,First Class
OFF-AP-4743,"Hoover Stove, Red",Office Supplies,Appliances,Critical,50,6,Second Class
OFF-FA-6129,Staples,Office Supplies,Fasteners,Critical,399,8,Second Class
FUR-CH-5443,"Office Star Executive Leather Armchair, Red",Furniture,Chairs,Critical,60,4,Same Day
TEC-PH-5841,"Samsung Smart Phone, VoIP",Technology,Phones,Critical,81,5,Second Class
TEC-MA-5503,"Okidata Inkjet, Wireless",Technology,Machines,Critical,80,9,First Class
TEC-PH-4389,Geemarc AmpliPOWER60,Technology,Phones,Medium,39,9,Standard Class
OFF-AP-3579,"Breville Stove, Red",Office Supplies,Appliances,Critical,27,5,Second Class
TEC-PH-3148,"Apple Smart Phone, Full Size",Technology,Phones,High,158,6,First Class
FUR-CH-4840,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,Medium,27,6,Standard Class
TEC-AC-6340,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Technology,Accessories,High,11,3,First Class
TEC-CO-3598,"Brother Fax Machine, Laser",Technology,Copiers,High,75,13,Standard Class
TEC-PH-5356,"Nokia Smart Phone, with Caller ID",Technology,Phones,Medium,89,5,First Class
TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones,High,130,6,Standard Class
TEC-PH-5269,"Motorola Smart Phone, with Caller ID",Technology,Phones,High,49,7,Standard Class
FUR-BO-5951,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,Medium,100,13,Second Class
TEC-PH-5267,"Motorola Smart Phone, Cordless",Technology,Phones,High,66,9,Standard Class
OFF-AP-3874,"Cuisinart Stove, Silver",Office Supplies,Appliances,Critical,37,7,First Class
FUR-FU-4072,"Eldon Image Series Desk Accessories, Ebony",Furniture,Furnishings,Medium,11,7,Second Class
FUR-CH-5441,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,Critical,125,5,Same Day
FUR-CH-5380,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,High,105,6,First Class
TEC-MA-5007,"Konica Inkjet, White",Technology,Machines,Critical,50,7,Same Day
FUR-CH-4531,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,High,99,11,Second Class
OFF-BI-4372,GBC VeloBind Cover Sets,Office Supplies,Binders,High,26,4,First Class
TEC-CO-3678,"Canon Copy Machine, Color",Technology,Copiers,Critical,77,8,First Class
TEC-PH-5269,"Motorola Smart Phone, with Caller ID",Technology,Phones,High,49,4,Same Day
TEC-CO-4590,"Hewlett Wireless Fax, Color",Technology,Copiers,Critical,73,4,First Class
FUR-TA-3766,"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables,Critical,17,2,Second Class
OFF-AP-3577,"Breville Refrigerator, White",Office Supplies,Appliances,High,34,9,First Class
FUR-BO-5760,"Safco Classic Bookcase, Metal",Furniture,Bookcases,High,75,7,Second Class
OFF-AR-3276,Avery Fluorescent Highlighter Four-Color Set,Office Supplies,Art,Medium,12,7,Standard Class
TEC-PH-5839,"Samsung Smart Phone, Cordless",Technology,Phones,Medium,94,7,Second Class
TEC-PH-3130,"Apple Audio Dock, with Caller ID",Technology,Phones,Critical,59,9,First Class
FUR-CH-5774,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,High,101,11,Standard Class
FUR-BO-5760,"Safco Classic Bookcase, Metal",Furniture,Bookcases,High,75,5,First Class
FUR-TA-3779,"Chromcraft Wood Table, Rectangular",Furniture,Tables,Critical,20,4,First Class
TEC-PH-5839,"Samsung Smart Phone, Cordless",Technology,Phones,Critical,94,4,Same Day
FUR-TA-3771,"Chromcraft Round Table, Rectangular",Furniture,Tables,Critical,6,4,First Class
FUR-CH-4530,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,High,125,7,First Class
OFF-AP-4497,"Hamilton Beach Microwave, Black",Office Supplies,Appliances,Medium,29,13,First Class
FUR-CH-4530,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,High,125,8,Second Class
FUR-TA-3422,"Bevis Conference Table, with Bottom Storage",Furniture,Tables,High,12,7,First Class
TEC-PH-5355,"Nokia Smart Phone, Full Size",Technology,Phones,High,143,6,Second Class
TEC-PH-3147,"Apple Smart Phone, Cordless",Technology,Phones,Critical,45,5,Second Class
TEC-CO-3599,"Brother Ink, Color",Technology,Copiers,Critical,68,10,First Class
TEC-CO-6010,"Sharp Wireless Fax, Digital",Technology,Copiers,Medium,62,9,Second Class
FUR-CH-5380,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,Critical,105,5,Same Day
FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,High,164,14,Standard Class
TEC-CO-3710,"Canon Wireless Fax, Laser",Technology,Copiers,Medium,64,14,Second Class
FUR-BO-3176,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Critical,21,2,First Class
OFF-BI-3324,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,Binders,High,8,7,First Class
TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones,Low,130,5,Standard Class
OFF-AP-4501,"Hamilton Beach Refrigerator, Black",Office Supplies,Appliances,Critical,35,6,Second Class
OFF-AP-4745,"Hoover Stove, White",Office Supplies,Appliances,Medium,77,4,Same Day
TEC-CO-3611,"Brother Wireless Fax, Laser",Technology,Copiers,High,79,9,Same Day
FUR-BO-4849,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,Medium,56,9,First Class
TEC-CO-3678,"Canon Copy Machine, Color",Technology,Copiers,High,77,6,First Class
FUR-TA-5066,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables,Medium,30,3,Standard Class
OFF-AP-4508,"Hamilton Beach Stove, White",Office Supplies,Appliances,Critical,47,5,Same Day
FUR-CH-5443,"Office Star Executive Leather Armchair, Red",Furniture,Chairs,High,60,7,First Class
FUR-TA-3422,"Bevis Conference Table, with Bottom Storage",Furniture,Tables,High,12,2,Same Day
FUR-BO-4849,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,High,56,7,First Class
FUR-CH-5774,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,Medium,101,7,Second Class
TEC-MA-5572,"Panasonic Printer, Red",Technology,Machines,Critical,34,9,Same Day
OFF-AP-4503,"Hamilton Beach Refrigerator, Silver",Office Supplies,Appliances,High,39,7,Second Class
TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones,Low,130,6,Standard Class
TEC-PH-3806,"Cisco Smart Phone, Full Size",Technology,Phones,Low,134,6,Standard Class
TEC-PH-5840,"Samsung Smart Phone, Full Size",Technology,Phones,High,42,4,Same Day
TEC-PH-5839,"Samsung Smart Phone, Cordless",Technology,Phones,Medium,94,6,First Class
TEC-CO-5999,"Sharp Fax Machine, High-Speed",Technology,Copiers,Critical,58,5,First Class
TEC-PH-3807,"Cisco Smart Phone, with Caller ID",Technology,Phones,High,78,8,Second Class
OFF-PA-6512,Xerox 1956,Office Supplies,Paper,Medium,11,11,Standard Class
FUR-BO-3891,"Dania Classic Bookcase, Pine",Furniture,Bookcases,High,86,9,First Class
OFF-AP-3575,"Breville Refrigerator, Red",Office Supplies,Appliances,High,38,8,Same Day
OFF-AP-3578,"Breville Stove, Black",Office Supplies,Appliances,Medium,15,3,First Class
TEC-PH-5839,"Samsung Smart Phone, Cordless",Technology,Phones,Critical,94,3,First Class
TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones,Medium,130,4,Second Class
FUR-TA-3763,"Chromcraft Conference Table, Adjustable Height",Furniture,Tables,Low,10,5,Standard Class
FUR-BO-5762,"Safco Classic Bookcase, Pine",Furniture,Bookcases,Critical,50,6,Same Day
TEC-AC-5138,Logitech Trackman Marble Mouse,Technology,Accessories,Critical,22,3,First Class
FUR-TA-5053,"Lesro Coffee Table, with Bottom Storage",Furniture,Tables,Critical,22,6,Second Class
OFF-BI-5638,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Office Supplies,Binders,High,18,6,Standard Class
TEC-PH-3148,"Apple Smart Phone, Full Size",Technology,Phones,Medium,158,4,First Class
FUR-CH-4655,"Hon Executive Leather Armchair, Black",Furniture,Chairs,High,77,5,First Class
FUR-BO-3648,"Bush Stackable Bookrack, Traditional",Furniture,Bookcases,Critical,49,9,Second Class
TEC-CO-4577,"Hewlett Fax Machine, High-Speed",Technology,Copiers,Critical,75,5,Second Class
TEC-PH-3149,"Apple Smart Phone, with Caller ID",Technology,Phones,Medium,38,9,Standard Class
FUR-BO-5969,"Sauder Library with Doors, Traditional",Furniture,Bookcases,High,38,7,First Class
OFF-ST-6046,"Smead Lockers, Blue",Office Supplies,Storage,Critical,138,6,Same Day
OFF-AP-4502,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances,Medium,40,7,Standard Class
TEC-CO-3595,"Brother Fax Machine, Color",Technology,Copiers,Critical,58,5,Same Day
FUR-BO-3627,"Bush Classic Bookcase, Traditional",Furniture,Bookcases,Low,72,5,Standard Class
OFF-ST-5702,"Rogers Lockers, Single Width",Office Supplies,Storage,High,98,6,First Class
FUR-BO-3639,"Bush Library with Doors, Metal",Furniture,Bookcases,Medium,76,9,Standard Class
TEC-PH-5841,"Samsung Smart Phone, VoIP",Technology,Phones,Critical,81,2,First Class
OFF-ST-4516,Hanging Personal Folder File,Office Supplies,Storage,High,12,6,Second Class
TEC-CO-6012,"Sharp Wireless Fax, Laser",Technology,Copiers,High,55,8,First Class
FUR-CH-5380,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,Critical,105,5,Second Class
TEC-CO-4568,"Hewlett Copy Machine, Color",Technology,Copiers,High,134,6,Same Day
TEC-CO-4588,"Hewlett Personal Copier, High-Speed",Technology,Copiers,Critical,45,9,Second Class
FUR-BO-4850,"Ikea Classic Bookcase, Pine",Furniture,Bookcases,High,41,6,Standard Class
FUR-FU-3844,"Computer Room Manger, 14""",Furniture,Furnishings,Medium,3,3,Standard Class
TEC-CO-4578,"Hewlett Fax Machine, Laser",Technology,Copiers,Critical,53,3,Same Day
OFF-AR-5285,Newell 309,Office Supplies,Art,Medium,15,3,First Class
OFF-AP-4504,"Hamilton Beach Refrigerator, White",Office Supplies,Appliances,Medium,34,10,Standard Class
FUR-BO-5951,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,High,100,8,Second Class
FUR-BO-5948,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,Medium,68,14,Standard Class
OFF-ST-5700,"Rogers Lockers, Blue",Office Supplies,Storage,High,134,8,First Class
TEC-PH-5355,"Nokia Smart Phone, Full Size",Technology,Phones,Critical,143,3,Second Class
OFF-ST-6261,"Tenex Lockers, Blue",Office Supplies,Storage,Critical,99,4,First Class
OFF-AP-3367,Belkin 7-Outlet SurgeMaster Home Series,Office Supplies,Appliances,High,7,1,First Class
FUR-CH-5456,"Office Star Swivel Stool, Red",Furniture,Chairs,Critical,50,8,Second Class
OFF-EN-2848,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,Medium,20,3,Standard Class
OFF-AP-4960,"KitchenAid Refrigerator, Black",Office Supplies,Appliances,High,45,7,First Class
OFF-ST-3078,Akro Stacking Bins,Office Supplies,Storage,Medium,5,3,Standard Class
TEC-MA-5005,"Konica Card Printer, Wireless",Technology,Machines,Critical,26,7,First Class
FUR-TA-3359,"Barricks Wood Table, with Bottom Storage",Furniture,Tables,High,16,5,First Class
TEC-AC-3402,"Belkin Router, Bluetooth",Technology,Accessories,High,54,8,First Class
OFF-LA-6021,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Labels,High,9,2,Standard Class
OFF-ST-6049,"Smead Lockers, Wire Frame",Office Supplies,Storage,Critical,97,7,First Class
FUR-TA-3343,"Barricks Conference Table, Adjustable Height",Furniture,Tables,Medium,13,4,Second Class
TEC-CO-4590,"Hewlett Wireless Fax, Color",Technology,Copiers,High,73,6,First Class
OFF-AP-4497,"Hamilton Beach Microwave, Black",Office Supplies,Appliances,High,29,9,First Class
OFF-AP-4736,"Hoover Refrigerator, Red",Office Supplies,Appliances,Medium,28,7,First Class
TEC-MA-6150,"StarTech Printer, Wireless",Technology,Machines,Critical,24,8,First Class
TEC-AC-5223,"Memorex Router, Bluetooth",Technology,Accessories,High,77,14,First Class
TEC-CO-4590,"Hewlett Wireless Fax, Color",Technology,Copiers,High,73,7,Second Class
TEC-PH-5839,"Samsung Smart Phone, Cordless",Technology,Phones,High,94,6,First Class
OFF-AP-4960,"KitchenAid Refrigerator, Black",Office Supplies,Appliances,High,45,8,Standard Class
TEC-PH-3149,"Apple Smart Phone, with Caller ID",Technology,Phones,High,38,3,First Class
TEC-CO-3597,"Brother Fax Machine, High-Speed",Technology,Copiers,Critical,76,5,First Class
TEC-AC-5109,Logitech G600 MMO Gaming Mouse,Technology,Accessories,Medium,14,1,Standard Class
FUR-BO-5763,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,High,73,7,Second Class
TEC-AC-3403,"Belkin Router, Erganomic",Technology,Accessories,High,92,12,Standard Class
OFF-AP-4745,"Hoover Stove, White",Office Supplies,Appliances,High,77,7,First Class
FUR-BO-3624,"Bush Classic Bookcase, Metal",Furniture,Bookcases,Critical,60,3,First Class
TEC-CO-4789,"HP Wireless Fax, Color",Technology,Copiers,Critical,47,10,Second Class
TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones,High,130,5,Standard Class
TEC-PH-3806,"Cisco Smart Phone, Full Size",Technology,Phones,High,134,5,First Class
FUR-TA-5064,"Lesro Round Table, Rectangular",Furniture,Tables,High,35,13,Standard Class
OFF-SU-2972,Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,Supplies,Medium,14,3,Standard Class
OFF-AP-4745,"Hoover Stove, White",Office Supplies,Appliances,High,77,5,First Class
OFF-AP-4502,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances,High,40,6,First Class
OFF-AP-4507,"Hamilton Beach Stove, Silver",Office Supplies,Appliances,Medium,47,7,First Class
TEC-PH-3806,"Cisco Smart Phone, Full Size",Technology,Phones,Medium,134,8,Standard Class
OFF-AP-4745,"Hoover Stove, White",Office Supplies,Appliances,High,77,7,Standard Class
OFF-PA-6420,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper,Medium,7,2,Standard Class
FUR-BO-5787,"Safco Library with Doors, Pine",Furniture,Bookcases,High,76,8,Standard Class
FUR-CH-4532,"Harbour Creations Executive Leather Armchair, Red",Furniture,Chairs,High,63,9,Standard Class
TEC-PH-3805,"Cisco Smart Phone, Cordless",Technology,Phones,Medium,77,9,Standard Class
TEC-PH-5840,"Samsung Smart Phone, Full Size",Technology,Phones,High,42,5,Standard Class
FUR-BO-3639,"Bush Library with Doors, Metal",Furniture,Bookcases,Medium,76,5,First Class
TEC-PH-5840,"Samsung Smart Phone, Full Size",Technology,Phones,High,42,5,First Class
FUR-TA-3420,"Bevis Conference Table, Fully Assembled",Furniture,Tables,High,25,5,First Class
FUR-BO-3639,"Bush Library with Doors, Metal",Furniture,Bookcases,High,76,7,First Class
TEC-PH-5355,"Nokia Smart Phone, Full Size",Technology,Phones,High,143,5,Second Class
FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,High,164,6,Second Class
TEC-AC-4185,"Enermax Router, Bluetooth",Technology,Accessories,Critical,47,6,Same Day
OFF-PA-6596,Xerox 231,Office Supplies,Paper,High,4,4,Standard Class
OFF-AP-4738,"Hoover Refrigerator, White",Office Supplies,Appliances,Critical,36,6,Second Class
TEC-MA-4205,"Epson Printer, Durable",Technology,Machines,Low,39,11,Standard Class
FUR-TA-4642,"Hon Computer Table, Adjustable Height",Furniture,Tables,Critical,8,7,First Class
OFF-AP-4502,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances,Medium,40,8,First Class
TEC-PH-3148,"Apple Smart Phone, Full Size",Technology,Phones,Medium,158,9,Standard Class
FUR-TA-5054,"Lesro Computer Table, Adjustable Height",Furniture,Tables,Critical,23,6,Same Day
FUR-TA-5072,"Lesro Wood Table, Fully Assembled",Furniture,Tables,Critical,27,5,Second Class
TEC-PH-5354,"Nokia Smart Phone, Cordless",Technology,Phones,Medium,36,7,Standard Class
FUR-TA-4706,"Hon Training Table, Fully Assembled",Furniture,Tables,High,19,8,Standard Class
FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,High,164,5,Standard Class
FUR-TA-3344,"Barricks Conference Table, Fully Assembled",Furniture,Tables,Medium,21,6,Second Class
FUR-TA-5421,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,Tables,Critical,23,3,First Class
OFF-AP-3574,"Breville Refrigerator, Black",Office Supplies,Appliances,Critical,25,4,Second Class
OFF-AP-4966,"KitchenAid Stove, Silver",Office Supplies,Appliances,Medium,44,9,Second Class
OFF-ST-6049,"Smead Lockers, Wire Frame",Office Supplies,Storage,Critical,97,6,Same Day
TEC-CO-5991,"Sharp Copy Machine, High-Speed",Technology,Copiers,Critical,63,4,Same Day
OFF-AP-4508,"Hamilton Beach Stove, White",Office Supplies,Appliances,Medium,47,10,Standard Class
OFF-BI-4338,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,Medium,21,2,Standard Class
OFF-AP-3580,"Breville Stove, Silver",Office Supplies,Appliances,High,22,3,First Class
OFF-ST-6047,"Smead Lockers, Industrial",Office Supplies,Storage,Critical,161,14,First Class
FUR-BO-5760,"Safco Classic Bookcase, Metal",Furniture,Bookcases,Low,75,7,Standard Class
OFF-SU-5635,Premier Electric Letter Opener,Office Supplies,Supplies,Critical,18,2,Same Day
FUR-FU-4756,"Howard Miller 12"" Round Wall Clock",Furniture,Furnishings,Medium,5,5,First Class
TEC-PH-5839,"Samsung Smart Phone, Cordless",Technology,Phones,High,94,6,Same Day
TEC-AC-6351,WD My Passport Ultra 1TB Portable External Hard Drive,Technology,Accessories,Medium,6,3,Standard Class
TEC-CO-3608,"Brother Wireless Fax, Color",Technology,Copiers,High,49,4,First Class
OFF-ST-4257,"Fellowes File Cart, Blue",Office Supplies,Storage,High,81,1,Standard Class
TEC-MA-4210,"Epson Receipt Printer, Red",Technology,Machines,Critical,22,10,Same Day
OFF-ST-4266,"Fellowes Lockers, Blue",Office Supplies,Storage,Critical,111,9,Second Class
TEC-PH-5841,"Samsung Smart Phone, VoIP",Technology,Phones,Medium,81,11,Standard Class
FUR-BO-3903,"Dania Library with Doors, Pine",Furniture,Bookcases,Critical,62,3,Same Day
FUR-BO-4862,"Ikea Library with Doors, Pine",Furniture,Bookcases,Critical,82,3,First Class
FUR-BO-3640,"Bush Library with Doors, Mobile",Furniture,Bookcases,Critical,50,4,First Class
TEC-PH-5356,"Nokia Smart Phone, with Caller ID",Technology,Phones,High,89,4,First Class
FUR-BO-5950,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,Medium,70,8,Second Class
TEC-CO-3611,"Brother Wireless Fax, Laser",Technology,Copiers,High,79,6,First Class
TEC-PH-3806,"Cisco Smart Phone, Full Size",Technology,Phones,Medium,134,8,Standard Class
TEC-PH-5269,"Motorola Smart Phone, with Caller ID",Technology,Phones,High,49,4,Standard Class
TEC-PH-5356,"Nokia Smart Phone, with Caller ID",Technology,Phones,High,89,5,Standard Class
FUR-CH-4531,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,Critical,99,4,Second Class
OFF-AP-3571,"Breville Microwave, Red",Office Supplies,Appliances,High,56,6,First Class
FUR-BO-5760,"Safco Classic Bookcase, Metal",Furniture,Bookcases,Critical,75,3,Second Class
FUR-CH-4530,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,High,125,4,First Class
OFF-SU-3839,Compact Automatic Electric Letter Opener,Office Supplies,Supplies,Medium,18,2,First Class
FUR-CH-5429,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,Medium,20,3,Second Class
OFF-AP-4732,"Hoover Microwave, Silver",Office Supplies,Appliances,Critical,25,4,Second Class
TEC-PH-5355,"Nokia Smart Phone, Full Size",Technology,Phones,Critical,143,2,First Class
OFF-AP-4962,"KitchenAid Refrigerator, Silver",Office Supplies,Appliances,Medium,41,9,Second Class
OFF-AP-4743,"Hoover Stove, Red",Office Supplies,Appliances,Medium,50,7,Second Class
FUR-TA-3358,"Barricks Wood Table, Rectangular",Furniture,Tables,High,6,4,Standard Class
FUR-BO-5967,"Sauder Library with Doors, Mobile",Furniture,Bookcases,High,42,7,Second Class
FUR-BO-3626,"Bush Classic Bookcase, Pine",Furniture,Bookcases,High,44,7,First Class
TEC-MA-5007,"Konica Inkjet, White",Technology,Machines,Critical,50,5,First Class
FUR-TA-3345,"Barricks Conference Table, Rectangular",Furniture,Tables,High,9,8,Second Class
TEC-CO-4593,"Hewlett Wireless Fax, Laser",Technology,Copiers,Medium,62,13,Standard Class
OFF-AR-5327,Newell 347,Office Supplies,Art,Medium,32,3,Standard Class
TEC-PH-3149,"Apple Smart Phone, with Caller ID",Technology,Phones,High,38,9,First Class
FUR-BO-5951,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,Critical,100,6,Second Class
TEC-CO-6010,"Sharp Wireless Fax, Digital",Technology,Copiers,Critical,62,3,First Class
TEC-PH-5354,"Nokia Smart Phone, Cordless",Technology,Phones,High,36,4,First Class
FUR-TA-4645,"Hon Conference Table, Adjustable Height",Furniture,Tables,High,24,4,Standard Class
FUR-TA-5065,"Lesro Round Table, with Bottom Storage",Furniture,Tables,Critical,8,7,Second Class
FUR-CH-5776,"SAFCO Executive Leather Armchair, Set of Two",Furniture,Chairs,Critical,54,4,Second Class
OFF-AP-4505,"Hamilton Beach Stove, Black",Office Supplies,Appliances,Critical,44,5,First Class
OFF-LA-5591,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Office Supplies,Labels,Medium,9,2,Standard Class
OFF-AR-5458,"OIC #2 Pencils, Medium Soft",Office Supplies,Art,High,4,2,Second Class
OFF-AP-4507,"Hamilton Beach Stove, Silver",Office Supplies,Appliances,High,47,5,Standard Class
TEC-PH-3148,"Apple Smart Phone, Full Size",Technology,Phones,Critical,158,2,Same Day
TEC-MA-5017,"Konica Printer, Wireless",Technology,Machines,Critical,24,7,Second Class
FUR-BO-3627,"Bush Classic Bookcase, Traditional",Furniture,Bookcases,Critical,72,3,First Class
TEC-PH-3807,"Cisco Smart Phone, with Caller ID",Technology,Phones,High,78,5,Standard Class
OFF-AP-4964,"KitchenAid Stove, Black",Office Supplies,Appliances,High,48,7,First Class
